symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,outcome,pnl,balance,duration_candles
USDCAD,SELL,2024-02-12 12:00:00,2024-02-12 12:30:00,1.3463,1.34638,1.34638,1.3461400000000003,1.2500000000022193,BE_HIT_PESSIMISTIC,-1.0,99.0,1
USDCAD,BUY,2024-06-05 17:30:00,2024-06-05 18:00:00,1.36684,1.3668500000000001,1.3668500000000001,1.36682,9.899999999935144,BE_HIT_PESSIMISTIC,0.99,99.99,1
USDCAD,BUY,2024-06-17 15:30:00,2024-06-17 16:00:00,1.37404,1.37388,1.37388,1.3743599999999998,0.6249375000002423,BE_HIT,-1.0,98.99,1
USDCAD,BUY,2024-06-17 16:00:00,2024-06-17 16:30:00,1.37402,1.3743,1.37388,1.3743,0.7070721428569965,TP_HIT,1.98,100.97,1
USDCAD,SELL,2024-09-06 10:30:00,2024-09-06 11:00:00,1.34985,1.34989,1.34989,1.34977,2.5242475499974755,BE_HIT_PESSIMISTIC,-1.01,99.96,1
USDCAD,SELL,2024-09-13 12:30:00,2024-09-13 13:00:00,1.3571900000000001,1.3572499999999998,1.3572499999999998,1.3570700000000007,1.6660033830075824,BE_HIT,-1.0,98.96,1
USDCAD,SELL,2024-11-29 16:30:00,2024-11-29 17:00:00,1.40116,1.40119,1.40119,1.4011,3.298686698342806,BE_HIT_PESSIMISTIC,-0.99,97.97,1
USDCAD,BUY,2025-01-06 11:30:00,2025-01-06 12:00:00,1.43895,1.4387100000000002,1.4387100000000002,1.4394299999999995,0.4082124789199222,BE_HIT,-0.98,96.99,1
USDCAD,BUY,2025-02-28 15:00:00,2025-02-28 15:30:00,1.4436,1.4435,1.4435,1.4438,0.9699128499130171,BE_HIT,-0.97,96.02,1
USDCAD,BUY,2025-12-10 15:30:00,2025-12-10 16:00:00,1.38464,1.38456,1.38456,1.3848000000000003,1.200267151766026,BE_HIT,-0.96,95.06,1
USDCAD,SELL,2026-01-14 15:00:00,2026-01-14 15:30:00,1.38863,1.3881900000000003,1.38885,1.3881900000000003,0.43209617463642364,TP_HIT,1.9,96.96,1
USDCAD,BUY,2019-09-24 15:00:00,2019-09-24 15:30:00,1.32557,1.3255800000000002,1.3255800000000002,1.3255499999999993,9.69623815855754,BE_HIT_PESSIMISTIC,0.97,97.93,1
USDCAD,BUY,2019-10-10 10:00:00,2019-10-10 10:30:00,1.33169,1.3316100000000002,1.3316100000000002,1.3318499999999998,1.2241500675552641,BE_HIT,-0.98,96.95,1
USDCAD,BUY,2019-10-10 10:30:00,2019-10-10 11:00:00,1.33164,1.3316100000000002,1.3316100000000002,1.3316999999999994,3.231756178366828,BE_HIT_PESSIMISTIC,-0.97,95.98,1
USDCAD,BUY,2019-10-10 11:00:00,2019-10-10 11:30:00,1.33161,1.3316100000000002,1.3316100000000002,1.3316099999999995,10.0,BE_HIT_PESSIMISTIC,0.0,95.98,1
USDCAD,BUY,2020-01-22 15:00:00,2020-01-22 15:30:00,1.30654,1.3064000000000002,1.3064000000000002,1.3068199999999996,0.6855939892632664,BE_HIT,-0.96,95.02,1
USDCAD,SELL,2020-11-17 16:00:00,2020-11-17 16:30:00,1.30786,1.30798,1.30798,1.3076200000000002,0.7918610575986543,BE_HIT_PESSIMISTIC,-0.95,94.07,1
USDCAD,SELL,2021-01-06 17:00:00,2021-01-06 17:30:00,1.26776,1.2679099999999999,1.2679099999999999,1.2674600000000003,0.627153957618134,BE_HIT_PESSIMISTIC,-0.94,93.13,1
USDCAD,SELL,2021-01-20 15:30:00,2021-01-20 16:00:00,1.27023,1.2703,1.2703,1.27009,1.3304623243742062,BE_HIT_PESSIMISTIC,-0.93,92.2,1
USDCAD,SELL,2021-03-03 16:00:00,2021-03-03 16:30:00,1.26238,1.2623799999999998,1.2623799999999998,1.2623800000000005,10.0,BE_HIT_PESSIMISTIC,0.0,92.2,1
XAUUSD,BUY,2022-08-09 11:00:00,2022-08-09 11:30:00,1785.2,1785.2,1785.2,1785.24,5.0000000000045475,BE_HIT_PESSIMISTIC,0.0,100.0,1
XAUUSD,BUY,2024-12-24 11:30:00,2024-12-24 12:00:00,2618.34,2618.22,2618.22,2618.580000000001,0.8333333333309333,BE_HIT_PESSIMISTIC,-1.0,99.0,1
XAUUSD,SELL,2020-03-31 12:30:00,2020-03-31 13:00:00,1615.21,1615.22,1615.22,1615.19,9.900000000009005,BE_HIT_PESSIMISTIC,-0.99,98.01,1
